"numero","slug","prompt"
"78","hal-astatie-alaml-bijanib-wazifati","Create a premium 16:9 e-commerce YouTube-style thumbnail. Brand look (always identical): dark cinematic background, deep gradient black to dark emerald green, warm golden glow and light rays, high contrast, glossy premium 3D feel. Bold Arabic text in GOLD, right-to-left, crisp and spelled EXACTLY as written. No brand name. Clean uncluttered composition. Scene: a split day scene: bright office desk by day on the left, the same desk at night glowing with a store dashboard on the right, a clock between. Large gold Arabic headline: 'وظيفتك تموّل بزنسك'. Small gold badge: 'دليل 2026'."
"79","hal-tijara-arkhas-min-mahal","Create a premium 16:9 e-commerce YouTube-style thumbnail. Brand look (always identical): dark cinematic background, deep gradient black to dark emerald green, warm golden glow and light rays, high contrast, glossy premium 3D feel. Bold Arabic text in GOLD, right-to-left, crisp and spelled EXACTLY as written. No brand name. Clean uncluttered composition. Scene: a versus: a costly physical shop with rent bills, signage and shelves versus a minimal laptop store, two price tags showing a huge gap. Large gold Arabic headline: 'وفّر 80% من التكاليف'. Small gold badge: 'دليل 2026'."
"80","hal-tijara-electroniya-halal","Create a premium 16:9 e-commerce YouTube-style thumbnail. Brand look (always identical): dark cinematic background, deep gradient black to dark emerald green, warm golden glow and light rays, high contrast, glossy premium 3D feel. Bold Arabic text in GOLD, right-to-left, crisp and spelled EXACTLY as written. No brand name. Clean uncluttered composition. Scene: an elegant golden balance scale centered, a subtle glowing crescent moon, a soft green check mark, tasteful respectful Islamic premium mood. Large gold Arabic headline: 'اربح بحلال'. Small gold badge: 'دليل 2026'."
"81","hal-tijara-saaba","Create a premium 16:9 e-commerce YouTube-style thumbnail. Brand look (always identical): dark cinematic background, deep gradient black to dark emerald green, warm golden glow and light rays, high contrast, glossy premium 3D feel. Bold Arabic text in GOLD, right-to-left, crisp and spelled EXACTLY as written. No brand name. Clean uncluttered composition. Scene: a dark steep mountain with a glowing golden staircase carved into it making the climb easy, a small figure silhouette halfway up. Large gold Arabic headline: 'صعبة؟ نعم… وسهلة'. Small gold badge: 'دليل 2026'."
"82","hal-tijara-electroniya-murbiha-2026","Create a premium 16:9 e-commerce YouTube-style thumbnail. Brand look (always identical): dark cinematic background, deep gradient black to dark emerald green, warm golden glow and light rays, high contrast, glossy premium 3D feel. Bold Arabic text in GOLD, right-to-left, crisp and spelled EXACTLY as written. No brand name. Clean uncluttered composition. Scene: a giant glowing question mark made of stacked gold coins, rising green charts behind it, calculator and real-numbers documents. Large gold Arabic headline: 'الأرقام تجيب'. Small gold badge: 'دليل 2026'."
"83","hal-dropshipping-mazal-murbihan","Create a premium 16:9 e-commerce YouTube-style thumbnail. Brand look (always identical): dark cinematic background, deep gradient black to dark emerald green, warm golden glow and light rays, high contrast, glossy premium 3D feel. Bold Arabic text in GOLD, right-to-left, crisp and spelled EXACTLY as written. No brand name. Clean uncluttered composition. Scene: a dropshipping box rising like a phoenix from grey 'RIP' rubble, glowing renewed in gold with a 2026 energy aura, green pulse line restarting. Large gold Arabic headline: 'مات أم تطوّر؟'. Small gold badge: 'دليل 2026'."
"84","hal-alumr-muhim","Create a premium 16:9 e-commerce YouTube-style thumbnail. Brand look (always identical): dark cinematic background, deep gradient black to dark emerald green, warm golden glow and light rays, high contrast, glossy premium 3D feel. Bold Arabic text in GOLD, right-to-left, crisp and spelled EXACTLY as written. No brand name. Clean uncluttered composition. Scene: a pair of elegant reading glasses beside a glowing laptop store, grey hair silhouette subtle, a golden 'it's never late' sunrise glow. Large gold Arabic headline: 'الأربعون بداية ثانية'. Small gold badge: 'دليل 2026'."
"85","hal-yumkin-bidaya-bi-100-euro","Create a premium 16:9 e-commerce YouTube-style thumbnail. Brand look (always identical): dark cinematic background, deep gradient black to dark emerald green, warm golden glow and light rays, high contrast, glossy premium 3D feel. Bold Arabic text in GOLD, right-to-left, crisp and spelled EXACTLY as written. No brand name. Clean uncluttered composition. Scene: a single glowing €100 banknote unfolding into a mini store, a tiny ad icon and a first product, micro-budget cozy mood. Large gold Arabic headline: 'ماذا تفعل 100€ فقط؟'. Small gold badge: 'دليل 2026'."
"86","hal-najah-bidun-khibra-taqniya","Create a premium 16:9 e-commerce YouTube-style thumbnail. Brand look (always identical): dark cinematic background, deep gradient black to dark emerald green, warm golden glow and light rays, high contrast, glossy premium 3D feel. Bold Arabic text in GOLD, right-to-left, crisp and spelled EXACTLY as written. No brand name. Clean uncluttered composition. Scene: a friendly drag-and-drop store builder interface with big simple golden blocks snapping together, a crossed-out code symbol fading. Large gold Arabic headline: 'بدون سطر كود واحد'. Small gold badge: 'دليل 2026'."
"87","hal-bidaya-bidun-ras-mal","Create a premium 16:9 e-commerce YouTube-style thumbnail. Brand look (always identical): dark cinematic background, deep gradient black to dark emerald green, warm golden glow and light rays, high contrast, glossy premium 3D feel. Bold Arabic text in GOLD, right-to-left, crisp and spelled EXACTLY as written. No brand name. Clean uncluttered composition. Scene: an empty glowing wallet opening to release a beam of light that builds a small store, a bold golden '0€' badge. Large gold Arabic headline: '0€… ممكن فعلاً؟'. Small gold badge: 'دليل 2026'."
"88","wazifa-thaniya-am-bizns","Create a premium 16:9 e-commerce YouTube-style thumbnail. Brand look (always identical): dark cinematic background, deep gradient black to dark emerald green, warm golden glow and light rays, high contrast, glossy premium 3D feel. Bold Arabic text in GOLD, right-to-left, crisp and spelled EXACTLY as written. No brand name. Clean uncluttered composition. Scene: a versus split: left a second-job time clock draining energy, right an online business compounding coins overnight, gold 'VS', hour-vs-income bars. Large gold Arabic headline: 'نفس الساعات… دخل مختلف'. Small gold badge: 'دليل 2026'."
"89","qisas-arab-najahu-min-urubba","Create a premium 16:9 e-commerce YouTube-style thumbnail. Brand look (always identical): dark cinematic background, deep gradient black to dark emerald green, warm golden glow and light rays, high contrast, glossy premium 3D feel. Bold Arabic text in GOLD, right-to-left, crisp and spelled EXACTLY as written. No brand name. Clean uncluttered composition. Scene: a glowing Europe map with golden success pins and rising mini-dashboards over several countries, trophies and confetti. Large gold Arabic headline: 'نجحوا بعيداً عن الوطن'. Small gold badge: 'دليل 2026'."
"90","qisas-fashal-haqiqiya","Create a premium 16:9 e-commerce YouTube-style thumbnail. Brand look (always identical): dark cinematic background, deep gradient black to dark emerald green, warm golden glow and light rays, high contrast, glossy premium 3D feel. Bold Arabic text in GOLD, right-to-left, crisp and spelled EXACTLY as written. No brand name. Clean uncluttered composition. Scene: a cracked dark storefront with scattered receipts, one golden lesson book glowing among the ruins, candle-light learning mood. Large gold Arabic headline: 'تعلّم من خسائر غيرهم'. Small gold badge: 'دليل 2026'."
"91","qissat-um-tunisiya-9000","Create a premium 16:9 e-commerce YouTube-style thumbnail. Brand look (always identical): dark cinematic background, deep gradient black to dark emerald green, warm golden glow and light rays, high contrast, glossy premium 3D feel. Bold Arabic text in GOLD, right-to-left, crisp and spelled EXACTLY as written. No brand name. Clean uncluttered composition. Scene: a Tunisia flag accent, a warm home desk with a glowing dashboard showing '$9,000', a 12-hour clock face, celebration sparks, NO face. Large gold Arabic headline: '9000$ في 12 ساعة'. Small gold badge: 'دليل 2026'."
"92","kayfa-wasal-matjar-368-alf","Create a premium 16:9 e-commerce YouTube-style thumbnail. Brand look (always identical): dark cinematic background, deep gradient black to dark emerald green, warm golden glow and light rays, high contrast, glossy premium 3D feel. Bold Arabic text in GOLD, right-to-left, crisp and spelled EXACTLY as written. No brand name. Clean uncluttered composition. Scene: a massive glowing dashboard with '$368,000' in huge gold numerals, an exploding green chart, magnifier dissecting the strategy beneath. Large gold Arabic headline: '$368,000 في شهر واحد'. Small gold badge: 'دليل 2026'."
"93","min-allujue-ila-albizns","Create a premium 16:9 e-commerce YouTube-style thumbnail. Brand look (always identical): dark cinematic background, deep gradient black to dark emerald green, warm golden glow and light rays, high contrast, glossy premium 3D feel. Bold Arabic text in GOLD, right-to-left, crisp and spelled EXACTLY as written. No brand name. Clean uncluttered composition. Scene: a path of light from a small suitcase at the dark edge toward a glowing store under a hopeful golden sunrise over a Europe skyline. Large gold Arabic headline: 'من الصفر المطلق إلى القمة'. Small gold badge: 'دليل 2026'."
"94","qissat-sufyan-min-italia","Create a premium 16:9 e-commerce YouTube-style thumbnail. Brand look (always identical): dark cinematic background, deep gradient black to dark emerald green, warm golden glow and light rays, high contrast, glossy premium 3D feel. Bold Arabic text in GOLD, right-to-left, crisp and spelled EXACTLY as written. No brand name. Clean uncluttered composition. Scene: an Italy flag accent with the Colosseum silhouette, a payslip of '€1,100' fading while a glowing dashboard shows '€50,000', rising gold arrow. Large gold Arabic headline: 'من 1100€ إلى €50,000'. Small gold badge: 'دليل 2026'."
"95","kayfa-tomayyiz-alwuiud-alkadiba","Create a premium 16:9 e-commerce YouTube-style thumbnail. Brand look (always identical): dark cinematic background, deep gradient black to dark emerald green, warm golden glow and light rays, high contrast, glossy premium 3D feel. Bold Arabic text in GOLD, right-to-left, crisp and spelled EXACTLY as written. No brand name. Clean uncluttered composition. Scene: a too-shiny fake golden promise badge cracking to reveal hollow grey inside, a magnifier exposing it, red warning glow on one side. Large gold Arabic headline: 'اكشف الكذبة قبل أن تدفع'. Small gold badge: 'دليل 2026'."
"96","kayfa-taarif-addawrat-annassaba","Create a premium 16:9 e-commerce YouTube-style thumbnail. Brand look (always identical): dark cinematic background, deep gradient black to dark emerald green, warm golden glow and light rays, high contrast, glossy premium 3D feel. Bold Arabic text in GOLD, right-to-left, crisp and spelled EXACTLY as written. No brand name. Clean uncluttered composition. Scene: a magnifier scanning course boxes on a dark shelf, red X marks appearing over scam ones, one genuine course glowing gold with a green check. Large gold Arabic headline: 'علامات تفضح النصابين'. Small gold badge: 'دليل 2026'."
"97","albaye-online-yemen","Create a premium 16:9 e-commerce YouTube-style thumbnail. Brand look (always identical): dark cinematic background, deep gradient black to dark emerald green, warm golden glow and light rays, high contrast, glossy premium 3D feel. Bold Arabic text in GOLD, right-to-left, crisp and spelled EXACTLY as written. No brand name. Clean uncluttered composition. Scene: a Yemen flag accent, a smartphone-based store with cash payment icons and local delivery motorbike, resilient hopeful golden glow. Large gold Arabic headline: 'البيع ممكن رغم كل شيء'. Small gold badge: 'دليل 2026'."
"98","albaye-fi-urubba-min-almaghrib","Create a premium 16:9 e-commerce YouTube-style thumbnail. Brand look (always identical): dark cinematic background, deep gradient black to dark emerald green, warm golden glow and light rays, high contrast, glossy premium 3D feel. Bold Arabic text in GOLD, right-to-left, crisp and spelled EXACTLY as written. No brand name. Clean uncluttered composition. Scene: a glowing arc of flying packages launching from a Morocco map across the sea toward a lit Europe map, a laptop bridge beneath. Large gold Arabic headline: 'بِع في أوروبا من بيتك'. Small gold badge: 'دليل 2026'."
"99","tijara-electroniya-isbania-autonomo","Create a premium 16:9 e-commerce YouTube-style thumbnail. Brand look (always identical): dark cinematic background, deep gradient black to dark emerald green, warm golden glow and light rays, high contrast, glossy premium 3D feel. Bold Arabic text in GOLD, right-to-left, crisp and spelled EXACTLY as written. No brand name. Clean uncluttered composition. Scene: a Spain flag accent with the Sagrada Familia silhouette, a golden 'autónomo' document with seal beside a glowing sales dashboard. Large gold Arabic headline: 'Autónomo خطوة بخطوة'. Small gold badge: 'دليل 2026'."
"100","tijara-electroniya-fil-urdun","Create a premium 16:9 e-commerce YouTube-style thumbnail. Brand look (always identical): dark cinematic background, deep gradient black to dark emerald green, warm golden glow and light rays, high contrast, glossy premium 3D feel. Bold Arabic text in GOLD, right-to-left, crisp and spelled EXACTLY as written. No brand name. Clean uncluttered composition. Scene: a Jordan flag accent with Petra's Treasury silhouette glowing gold, a clean dashboard with rising chart and local delivery box. Large gold Arabic headline: 'السوق الأردني ينتظرك'. Small gold badge: 'دليل 2026'."
"101","tijara-electroniya-fi-sudan","Create a premium 16:9 e-commerce YouTube-style thumbnail. Brand look (always identical): dark cinematic background, deep gradient black to dark emerald green, warm golden glow and light rays, high contrast, glossy premium 3D feel. Bold Arabic text in GOLD, right-to-left, crisp and spelled EXACTLY as written. No brand name. Clean uncluttered composition. Scene: a Sudan flag accent with the Nile confluence and pyramids of Meroë silhouette, a phone store glowing among challenge clouds parting. Large gold Arabic headline: 'فرص وسط التحديات'. Small gold badge: 'دليل 2026'."
"102","tijara-electroniya-fil-iraq","Create a premium 16:9 e-commerce YouTube-style thumbnail. Brand look (always identical): dark cinematic background, deep gradient black to dark emerald green, warm golden glow and light rays, high contrast, glossy premium 3D feel. Bold Arabic text in GOLD, right-to-left, crisp and spelled EXACTLY as written. No brand name. Clean uncluttered composition. Scene: an Iraq flag accent with a minaret silhouette, a glowing dashboard, a crowd of customer icons forming a large market, COD package. Large gold Arabic headline: 'سوق 40 مليون مستهلك'. Small gold badge: 'دليل 2026'."
"103","tijara-fi-belgika-wahollanda","Create a premium 16:9 e-commerce YouTube-style thumbnail. Brand look (always identical): dark cinematic background, deep gradient black to dark emerald green, warm golden glow and light rays, high contrast, glossy premium 3D feel. Bold Arabic text in GOLD, right-to-left, crisp and spelled EXACTLY as written. No brand name. Clean uncluttered composition. Scene: Belgium and Netherlands flags side by side, one golden passport-style store key opening two glowing market doors, canal and Atomium silhouettes. Large gold Arabic headline: 'سوقان بمفتاح واحد'. Small gold badge: 'دليل 2026'."
"104","tijara-electroniya-fi-suria","Create a premium 16:9 e-commerce YouTube-style thumbnail. Brand look (always identical): dark cinematic background, deep gradient black to dark emerald green, warm golden glow and light rays, high contrast, glossy premium 3D feel. Bold Arabic text in GOLD, right-to-left, crisp and spelled EXACTLY as written. No brand name. Clean uncluttered composition. Scene: a Syria flag accent, a phone store glowing with alternative payment icons (transfer, cash, wallets) connected by golden workaround paths. Large gold Arabic headline: 'بدائل الدفع موجودة'. Small gold badge: 'دليل 2026'."
"105","tijara-electroniya-fi-oman","Create a premium 16:9 e-commerce YouTube-style thumbnail. Brand look (always identical): dark cinematic background, deep gradient black to dark emerald green, warm golden glow and light rays, high contrast, glossy premium 3D feel. Bold Arabic text in GOLD, right-to-left, crisp and spelled EXACTLY as written. No brand name. Clean uncluttered composition. Scene: an Oman flag accent with a fort and dhow boat silhouette, a calm glowing dashboard with steady rising chart, trending product boxes. Large gold Arabic headline: 'السوق الهادئ الرابح'. Small gold badge: 'دليل 2026'."
"106","tijara-electroniya-kanada","Create a premium 16:9 e-commerce YouTube-style thumbnail. Brand look (always identical): dark cinematic background, deep gradient black to dark emerald green, warm golden glow and light rays, high contrast, glossy premium 3D feel. Bold Arabic text in GOLD, right-to-left, crisp and spelled EXACTLY as written. No brand name. Clean uncluttered composition. Scene: a Canada flag accent with a giant glowing golden maple leaf, a floating Shopify dashboard '$8,500' with '+312%' green badge, snow sparkle. Large gold Arabic headline: 'ابدأ من الصفر في كندا'. Small gold badge: 'دليل 2026'."
"107","tijara-electroniya-fi-lubnan","Create a premium 16:9 e-commerce YouTube-style thumbnail. Brand look (always identical): dark cinematic background, deep gradient black to dark emerald green, warm golden glow and light rays, high contrast, glossy premium 3D feel. Bold Arabic text in GOLD, right-to-left, crisp and spelled EXACTLY as written. No brand name. Clean uncluttered composition. Scene: a Lebanon flag accent with a cedar tree glowing gold, a phone store with dollar-cash payment icons shining through a dark stormy sky clearing. Large gold Arabic headline: 'اربح رغم الأزمة'. Small gold badge: 'دليل 2026'."
"108","tijara-electroniya-fi-misr","Create a premium 16:9 e-commerce YouTube-style thumbnail. Brand look (always identical): dark cinematic background, deep gradient black to dark emerald green, warm golden glow and light rays, high contrast, glossy premium 3D feel. Bold Arabic text in GOLD, right-to-left, crisp and spelled EXACTLY as written. No brand name. Clean uncluttered composition. Scene: an Egypt flag accent with pyramids and sphinx silhouette under golden light, a dashboard with a huge crowd of customer icons, COD scooter. Large gold Arabic headline: 'سوق 100 مليون مستهلك'. Small gold badge: 'دليل 2026'."
"109","tijara-electroniya-fi-muritania","Create a premium 16:9 e-commerce YouTube-style thumbnail. Brand look (always identical): dark cinematic background, deep gradient black to dark emerald green, warm golden glow and light rays, high contrast, glossy premium 3D feel. Bold Arabic text in GOLD, right-to-left, crisp and spelled EXACTLY as written. No brand name. Clean uncluttered composition. Scene: a Mauritania flag accent with desert dunes and a crescent, an untouched glowing oasis-store rising from the sand, first-mover golden glow. Large gold Arabic headline: 'السوق البِكر'. Small gold badge: 'دليل 2026'."
"110","tijara-electroniya-hollanda-ideal","Create a premium 16:9 e-commerce YouTube-style thumbnail. Brand look (always identical): dark cinematic background, deep gradient black to dark emerald green, warm golden glow and light rays, high contrast, glossy premium 3D feel. Bold Arabic text in GOLD, right-to-left, crisp and spelled EXACTLY as written. No brand name. Clean uncluttered composition. Scene: a Netherlands flag accent with windmill and canal houses, a glowing checkout screen featuring an 'iDEAL'-style payment button, tulip gold accents. Large gold Arabic headline: 'iDEAL مفتاح السوق الهولندي'. Small gold badge: 'دليل 2026'."
"111","dropshipping-australia-abn","Create a premium 16:9 e-commerce YouTube-style thumbnail. Brand look (always identical): dark cinematic background, deep gradient black to dark emerald green, warm golden glow and light rays, high contrast, glossy premium 3D feel. Bold Arabic text in GOLD, right-to-left, crisp and spelled EXACTLY as written. No brand name. Clean uncluttered composition. Scene: an Australia flag accent with the Sydney Opera House silhouette, a glowing 'ABN' document with seal beside a dropshipping flow over a kangaroo-road sign. Large gold Arabic headline: 'قارة كاملة تنتظر متجرك'. Small gold badge: 'دليل 2026'."
"112","taklifat-taraxis-matjar-imarat","Create a premium 16:9 e-commerce YouTube-style thumbnail. Brand look (always identical): dark cinematic background, deep gradient black to dark emerald green, warm golden glow and light rays, high contrast, glossy premium 3D feel. Bold Arabic text in GOLD, right-to-left, crisp and spelled EXACTLY as written. No brand name. Clean uncluttered composition. Scene: a UAE flag accent, a golden license certificate with official seal beside a calculator and a cost-breakdown sheet, Burj Al Arab silhouette. Large gold Arabic headline: 'الرخصة أرخص مما تظن'. Small gold badge: 'دليل 2026'."
"113","suq-alkuwait-qatar-albahrain","Create a premium 16:9 e-commerce YouTube-style thumbnail. Brand look (always identical): dark cinematic background, deep gradient black to dark emerald green, warm golden glow and light rays, high contrast, glossy premium 3D feel. Bold Arabic text in GOLD, right-to-left, crisp and spelled EXACTLY as written. No brand name. Clean uncluttered composition. Scene: three Gulf flags (Kuwait, Qatar, Bahrain) over a connected glowing map triangle, three small thriving store icons with rising mini-charts. Large gold Arabic headline: 'ثلاثة أسواق… فرصة واحدة'. Small gold badge: 'دليل 2026'."
"114","shopify-fil-urdun","Create a premium 16:9 e-commerce YouTube-style thumbnail. Brand look (always identical): dark cinematic background, deep gradient black to dark emerald green, warm golden glow and light rays, high contrast, glossy premium 3D feel. Bold Arabic text in GOLD, right-to-left, crisp and spelled EXACTLY as written. No brand name. Clean uncluttered composition. Scene: a Jordan flag accent, a Shopify screen with a payment screen showing alternative card options, golden workaround arrows connecting them. Large gold Arabic headline: 'الدفع له حلول'. Small gold badge: 'دليل 2026'."
"115","shopify-fil-iraq","Create a premium 16:9 e-commerce YouTube-style thumbnail. Brand look (always identical): dark cinematic background, deep gradient black to dark emerald green, warm golden glow and light rays, high contrast, glossy premium 3D feel. Bold Arabic text in GOLD, right-to-left, crisp and spelled EXACTLY as written. No brand name. Clean uncluttered composition. Scene: an Iraq flag accent, a Shopify store glowing on a laptop with a bridge of golden steps crossing a 'not available' gap, hopeful mood. Large gold Arabic headline: 'متاح… بطريقتك الخاصة'. Small gold badge: 'دليل 2026'."
"116","shopify-fil-kuwait","Create a premium 16:9 e-commerce YouTube-style thumbnail. Brand look (always identical): dark cinematic background, deep gradient black to dark emerald green, warm golden glow and light rays, high contrast, glossy premium 3D feel. Bold Arabic text in GOLD, right-to-left, crisp and spelled EXACTLY as written. No brand name. Clean uncluttered composition. Scene: a Kuwait flag accent with the Kuwait Towers silhouette, a Shopify checkout with KNET-style payment card glowing, gold accents. Large gold Arabic headline: 'بوابة الدفع الصحيحة تغيّر كل شيء'. Small gold badge: 'دليل 2026'."
"117","tijara-electroniya-fi-assaudia","Create a premium 16:9 e-commerce YouTube-style thumbnail. Brand look (always identical): dark cinematic background, deep gradient black to dark emerald green, warm golden glow and light rays, high contrast, glossy premium 3D feel. Bold Arabic text in GOLD, right-to-left, crisp and spelled EXACTLY as written. No brand name. Clean uncluttered composition. Scene: a Saudi flag accent with Riyadh skyline and Kingdom Tower silhouette, a glowing dashboard with rising chart, official checklist with green checks. Large gold Arabic headline: 'أكبر سوق عربي بين يديك'. Small gold badge: 'دليل 2026'."
"118","tijara-electroniya-fi-tunis","Create a premium 16:9 e-commerce YouTube-style thumbnail. Brand look (always identical): dark cinematic background, deep gradient black to dark emerald green, warm golden glow and light rays, high contrast, glossy premium 3D feel. Bold Arabic text in GOLD, right-to-left, crisp and spelled EXACTLY as written. No brand name. Clean uncluttered composition. Scene: a Tunisia flag accent with Sidi Bou Said dome silhouette, a glowing laptop store with local delivery scooter and dinar coins. Large gold Arabic headline: 'ابدأ بأقل التكاليف'. Small gold badge: 'دليل 2026'."
"119","bizns-online-fi-almania","Create a premium 16:9 e-commerce YouTube-style thumbnail. Brand look (always identical): dark cinematic background, deep gradient black to dark emerald green, warm golden glow and light rays, high contrast, glossy premium 3D feel. Bold Arabic text in GOLD, right-to-left, crisp and spelled EXACTLY as written. No brand name. Clean uncluttered composition. Scene: a Germany flag accent with the Brandenburg Gate silhouette, a glowing store beside an official 'Gewerbe' document with seal, euro coins. Large gold Arabic headline: 'النظام الألماني خطوة بخطوة'. Small gold badge: 'دليل 2026'."
"120","kayfa-abie-fi-assuq-assaudi","Create a premium 16:9 e-commerce YouTube-style thumbnail. Brand look (always identical): dark cinematic background, deep gradient black to dark emerald green, warm golden glow and light rays, high contrast, glossy premium 3D feel. Bold Arabic text in GOLD, right-to-left, crisp and spelled EXACTLY as written. No brand name. Clean uncluttered composition. Scene: a glowing arc of packages flying from a laptop across a world map landing on a glowing Saudi map, remote-control golden beam. Large gold Arabic headline: 'بِع في السعودية عن بُعد'. Small gold badge: 'دليل 2026'."
"121","tijara-electroniya-fi-libia","Create a premium 16:9 e-commerce YouTube-style thumbnail. Brand look (always identical): dark cinematic background, deep gradient black to dark emerald green, warm golden glow and light rays, high contrast, glossy premium 3D feel. Bold Arabic text in GOLD, right-to-left, crisp and spelled EXACTLY as written. No brand name. Clean uncluttered composition. Scene: a Libya flag accent, a phone-based store glowing with cash payment and local courier icons, golden light breaking through clouds. Large gold Arabic headline: 'السوق المفتوح للجريئين'. Small gold badge: 'دليل 2026'."
"122","tijara-electroniya-italia-partita-iva","Create a premium 16:9 e-commerce YouTube-style thumbnail. Brand look (always identical): dark cinematic background, deep gradient black to dark emerald green, warm golden glow and light rays, high contrast, glossy premium 3D feel. Bold Arabic text in GOLD, right-to-left, crisp and spelled EXACTLY as written. No brand name. Clean uncluttered composition. Scene: an Italy flag accent with the Colosseum silhouette, a golden 'Partita IVA' document with seal beside a glowing sales dashboard, espresso cup. Large gold Arabic headline: 'Partita IVA بدون تعقيد'. Small gold badge: 'دليل 2026'."
"123","dropshipping-amrica-llc","Create a premium 16:9 e-commerce YouTube-style thumbnail. Brand look (always identical): dark cinematic background, deep gradient black to dark emerald green, warm golden glow and light rays, high contrast, glossy premium 3D feel. Bold Arabic text in GOLD, right-to-left, crisp and spelled EXACTLY as written. No brand name. Clean uncluttered composition. Scene: a USA flag accent with the Statue of Liberty silhouette, a golden 'LLC' certificate with seal beside a glowing dropshipping flow and dollar stacks. Large gold Arabic headline: 'LLC تفتح لك أمريكا'. Small gold badge: 'دليل 2026'."
"124","tijara-electroniya-suwid","Create a premium 16:9 e-commerce YouTube-style thumbnail. Brand look (always identical): dark cinematic background, deep gradient black to dark emerald green, warm golden glow and light rays, high contrast, glossy premium 3D feel. Bold Arabic text in GOLD, right-to-left, crisp and spelled EXACTLY as written. No brand name. Clean uncluttered composition. Scene: a Sweden flag accent with Stockholm waterfront silhouette, a clean minimal Nordic-style glowing store with rising chart, northern-lights glow. Large gold Arabic headline: 'السوق الهادئ الغني'. Small gold badge: 'دليل 2026'."
"125","matjar-electroni-filastin","Create a premium 16:9 e-commerce YouTube-style thumbnail. Brand look (always identical): dark cinematic background, deep gradient black to dark emerald green, warm golden glow and light rays, high contrast, glossy premium 3D feel. Bold Arabic text in GOLD, right-to-left, crisp and spelled EXACTLY as written. No brand name. Clean uncluttered composition. Scene: a Palestine flag accent with the Dome of the Rock silhouette glowing gold, a phone store with local payment icons, resilient hopeful light. Large gold Arabic headline: 'ابدأ رغم كل الحواجز'. Small gold badge: 'دليل 2026'."
"126","matjar-electroni-qatar","Create a premium 16:9 e-commerce YouTube-style thumbnail. Brand look (always identical): dark cinematic background, deep gradient black to dark emerald green, warm golden glow and light rays, high contrast, glossy premium 3D feel. Bold Arabic text in GOLD, right-to-left, crisp and spelled EXACTLY as written. No brand name. Clean uncluttered composition. Scene: a Qatar flag accent with Doha skyline and Museum of Islamic Art silhouette, a glowing dashboard with premium customers icons, gold coins. Large gold Arabic headline: 'سوق صغير… قوة شرائية ضخمة'. Small gold badge: 'دليل 2026'."
"127","albaye-lilurubbi-am-alarabi","Create a premium 16:9 e-commerce YouTube-style thumbnail. Brand look (always identical): dark cinematic background, deep gradient black to dark emerald green, warm golden glow and light rays, high contrast, glossy premium 3D feel. Bold Arabic text in GOLD, right-to-left, crisp and spelled EXACTLY as written. No brand name. Clean uncluttered composition. Scene: a versus split: left a glowing Europe map with euro tags, right a glowing Arab world map with dirham/riyal tags, a figure standing at a golden fork. Large gold Arabic headline: 'سوقان أمامك… اختر بذكاء'. Small gold badge: 'دليل 2026'."
"128","akhtae-ikhtiyar-almontaj","Create a premium 16:9 e-commerce YouTube-style thumbnail. Brand look (always identical): dark cinematic background, deep gradient black to dark emerald green, warm golden glow and light rays, high contrast, glossy premium 3D feel. Bold Arabic text in GOLD, right-to-left, crisp and spelled EXACTLY as written. No brand name. Clean uncluttered composition. Scene: a product card going up in flames burning banknotes around it, a red warning glow, a fire extinguisher with a golden checklist beside. Large gold Arabic headline: 'هذه الأخطاء تحرق ميزانيتك'. Small gold badge: 'دليل 2026'."
"129","akhtae-ikhtiyar-niche","Create a premium 16:9 e-commerce YouTube-style thumbnail. Brand look (always identical): dark cinematic background, deep gradient black to dark emerald green, warm golden glow and light rays, high contrast, glossy premium 3D feel. Bold Arabic text in GOLD, right-to-left, crisp and spelled EXACTLY as written. No brand name. Clean uncluttered composition. Scene: a dart thrown completely off a golden target board hitting a red X zone, scattered failed niche icons on the floor. Large gold Arabic headline: 'لا تصوّب على الهدف الخطأ'. Small gold badge: 'دليل 2026'."
"130","adawat-tajassus-almunafisin","Create a premium 16:9 e-commerce YouTube-style thumbnail. Brand look (always identical): dark cinematic background, deep gradient black to dark emerald green, warm golden glow and light rays, high contrast, glossy premium 3D feel. Bold Arabic text in GOLD, right-to-left, crisp and spelled EXACTLY as written. No brand name. Clean uncluttered composition. Scene: a noir spy scene: a golden magnifier and binoculars peeking at competitor store screens, a hidden dashboard revealing their best-sellers. Large gold Arabic headline: 'اعرف ما يبيعه منافسك'. Small gold badge: 'دليل 2026'."
"131","afdal-montajat-snapchat-khalij","Create a premium 16:9 e-commerce YouTube-style thumbnail. Brand look (always identical): dark cinematic background, deep gradient black to dark emerald green, warm golden glow and light rays, high contrast, glossy premium 3D feel. Bold Arabic text in GOLD, right-to-left, crisp and spelled EXACTLY as written. No brand name. Clean uncluttered composition. Scene: a glowing smartphone with a vertical snap-style ad, a small ghost-like icon, Gulf landmarks silhouettes, products flying out of the screen. Large gold Arabic headline: 'منتجات تكتسح سناب الخليج'. Small gold badge: 'دليل 2026'."
